,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Rating,Height,Weight,Age,Preffered_Position,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Speed,Finishing,Penalties
81,Stéphane Ruffier,France,0,0.0,AS Saint-Étienne,GK,16.0,85,188,93,30,GK,3,1,15,12,11,11,12,31,77,12,25,50,11,25
82,Laurent Koscielny,France,RCB,21.0,Arsenal,LCB,6.0,85,186,75,31,CB,3,2,67,62,83,86,87,90,82,31,86,80,32,51
83,Filipe Luís,Brazil,Sub,6.0,Atlético Madrid,LB,3.0,85,182,77,31,LB,3,3,81,77,85,86,83,81,83,71,82,83,59,65
84,Vincent Kompany,Belgium,CB,3.0,Manchester City,Sub,4.0,85,193,85,30,CB,3,2,66,63,85,86,88,81,83,41,77,69,45,63
85,Aymeric Laporte,France,0,0.0,Athletic Bilbao,LCB,4.0,84,189,85,22,CB,2,2,71,55,86,85,88,72,82,54,85,71,45,35
86,Yannick Carrasco,Belgium,LM,18.0,Atlético Madrid,LM,10.0,84,180,66,23,LM/LW,4,4,85,90,19,26,39,61,83,82,18,89,78,74
87,Carvajal,Spain,RB,12.0,Real Madrid,RB,2.0,84,173,73,25,RB,3,2,83,76,85,86,85,81,81,61,82,85,41,45
88,Riyad Mahrez,Algeria,0,0.0,Leicester City,RM,26.0,84,179,62,26,RM/CAM,4,5,90,88,25,21,27,40,75,80,38,79,77,72
89,Raphaël Varane,France,0,0.0,Real Madrid,Sub,5.0,84,191,78,23,CB,3,2,75,57,84,85,86,73,79,44,82,83,40,43
90,Mauro Icardi,Argentina,0,0.0,Inter,ST,9.0,84,181,75,24,ST,4,2,79,75,17,21,21,35,83,89,22,80,89,78
91,Lorenzo Insigne,Italy,Sub,20.0,Napoli,LW,24.0,84,163,59,25,LW,3,4,90,88,16,22,24,34,80,83,26,86,71,61
92,Isco,Spain,Sub,22.0,Real Madrid,Sub,22.0,84,176,74,24,CM/RM,3,4,90,89,25,49,66,58,78,83,65,69,79,76
93,Koke,Spain,RCM,8.0,Atlético Madrid,RM,6.0,84,178,74,25,CM/RM,4,3,86,80,63,51,66,71,84,80,64,69,71,59
94,Kostas Manolas,Greece,LCB,4.0,Roma,RCB,44.0,84,189,83,25,CB,2,2,65,54,88,87,86,86,81,25,85,80,10,26
95,Danijel Subašić,Croatia,0,0.0,AS Monaco,GK,1.0,84,191,84,32,GK,2,1,19,11,15,13,14,31,79,15,20,54,10,23
96,Nicolás Otamendi,Argentina,RCB,17.0,Manchester City,LCB,30.0,84,183,81,29,CB,3,2,64,41,81,83,84,89,78,49,82,75,53,44
97,Shkodran Mustafi,Germany,Sub,2.0,Arsenal,RCB,20.0,84,184,82,24,CB,3,2,70,53,82,85,83,79,81,50,85,73,58,54
98,Nemanja Matić,Serbia,0,0.0,Chelsea,LCM,21.0,84,194,84,28,CDM/CM,3,3,79,72,76,77,83,83,82,68,86,68,64,69
99,Alex Sandro,Brazil,0,0.0,Juventus,LB,12.0,84,181,76,26,LB/LM,3,3,81,82,76,82,82,70,80,72,82,89,57,59
100,Kamil Glik,Poland,RCB,15.0,AS Monaco,RCB,25.0,84,190,80,29,CB,2,2,59,51,86,82,86,86,76,24,87,63,11,39
101,Douglas Costa,Brazil,Sub,7.0,FC Bayern,LM,11.0,84,170,65,26,LM/CAM,3,5,84,87,41,44,58,55,79,78,43,88,72,77
102,Kevin Strootman,Netherlands,CDM,6.0,Roma,LCM,6.0,84,186,78,27,CM/CDM,3,3,85,76,72,75,83,86,84,78,84,69,68,77
103,Nicolás Gaitán,Argentina,0,0.0,Atlético Madrid,Sub,23.0,84,173,68,29,LM,2,4,85,86,30,43,42,57,84,79,40,80,73,71
104,Bruno,Spain,0,0.0,Villarreal CF,LCM,21.0,84,184,73,32,CM,3,3,83,75,70,85,84,79,84,69,85,52,66,75
105,Ivan Perišić,Croatia,0,0.0,Inter,LAM,44.0,84,186,81,28,LM/CAM,5,4,83,84,26,45,45,59,80,84,42,87,78,76
106,David Luiz,Brazil,0,0.0,Chelsea,CB,30.0,84,189,84,29,CB,3,3,79,66,80,84,85,84,79,54,82,73,56,75
107,Sami Khedira,Germany,RDM,6.0,Juventus,LDM,6.0,84,189,93,29,CM/CDM,4,2,81,78,76,78,86,82,86,80,86,69,70,69
108,Benedikt Höwedes,Germany,Sub,4.0,FC Schalke 04,RCB,4.0,84,187,82,29,CB/RB,3,2,70,60,85,84,84,79,82,51,85,67,48,56
109,Ralf Fährmann,Germany,0,0.0,FC Schalke 04,GK,1.0,84,196,95,28,GK,2,1,24,15,12,10,12,36,84,11,23,47,11,21
110,Sergio Asenjo,Spain,0,0.0,Villarreal CF,Sub,1.0,84,189,87,27,GK,3,1,14,15,12,14,15,20,79,12,22,54,14,15
111,Éver Banega,Argentina,CAM,19.0,Inter,CAM,19.0,84,174,71,28,CAM,4,4,87,85,57,61,69,69,82,75,70,69,65,67
112,Medhi Benatia,Morocco,0,0.0,Juventus,Sub,4.0,84,190,96,29,CB,3,2,65,64,86,84,86,84,78,39,80,69,49,41
113,Steve Mandanda,France,0,0.0,Crystal Palace,Sub,30.0,84,185,82,32,GK,3,1,17,15,10,13,15,37,81,11,23,43,13,11
114,Dani Alves,Brazil,RB,2.0,Juventus,Sub,23.0,84,172,68,33,RB,3,3,85,84,72,84,80,78,82,72,82,83,60,70
115,Arda Turan,Turkey,RM,10.0,FC Barcelona,Sub,7.0,84,177,76,30,CM/LW,4,4,88,87,54,65,63,80,81,82,61,68,72,73
116,Javier Mascherano,Argentina,LCM,14.0,FC Barcelona,Sub,14.0,84,174,73,32,CB/CDM,3,2,80,58,82,83,84,88,83,51,90,65,42,60
117,Aduriz,Spain,0,0.0,Athletic Bilbao,ST,20.0,84,182,78,36,ST,3,3,80,79,46,49,44,82,85,86,23,71,85,77
118,Yaya Touré,Ivory Coast,0,0.0,Manchester City,CDM,42.0,84,189,90,33,CM/CDM,4,3,82,79,66,75,76,78,82,80,60,78,82,89
119,Eric Bailly,Ivory Coast,RCB,9.0,Manchester Utd,RCB,3.0,83,187,77,22,CB,3,2,63,59,83,86,85,86,75,44,85,83,33,46
120,José María Giménez,Uruguay,RCB,2.0,Atlético Madrid,Sub,24.0,83,185,80,22,CB,3,2,56,47,85,87,86,89,76,24,85,72,37,38
121,N'Golo Kanté,France,RDM,13.0,Chelsea,RCM,7.0,83,168,68,26,CM/CDM,3,3,79,76,75,85,89,90,85,69,91,81,65,54
122,Gerónimo Rulli,Argentina,0,0.0,Real Sociedad,GK,1.0,83,189,80,24,GK,3,1,15,15,16,17,13,26,77,12,21,48,15,24
123,João Mário,Portugal,LM,10.0,Inter,Sub,6.0,83,179,73,24,CM/CAM,4,3,85,84,67,61,75,61,82,80,78,77,72,66
124,André Gomes,Portugal,CM,15.0,FC Barcelona,Sub,21.0,83,188,84,23,CM/CAM,4,3,83,84,65,64,77,81,82,77,76,66,68,55
125,Marquinhos,Brazil,LCB,13.0,PSG,RCB,5.0,83,183,75,22,CB/RB,3,2,76,65,85,86,85,80,81,46,84,74,33,31
126,Carlos Bacca,Colombia,ST,7.0,Milan,ST,70.0,83,181,77,30,ST,2,3,80,80,12,14,16,68,82,87,34,83,88,79
127,William Carvalho,Portugal,CDM,14.0,Sporting CP,CDM,14.0,83,187,83,24,CDM,4,3,78,79,77,71,85,75,74,64,84,53,55,60
128,Karim Bellarabi,Germany,0,0.0,Bayer 04,RM,38.0,83,183,80,26,RM,3,4,84,87,28,33,30,59,81,80,38,90,75,57
129,Raheem Sterling,England,RM,7.0,Manchester City,RW,7.0,83,170,69,22,RM/RW,2,4,84,86,48,54,58,34,79,81,26,92,73,63
130,Julian Draxler,Germany,LM,7.0,PSG,LW,23.0,83,187,72,23,CAM/LW,5,4,85,87,25,26,35,48,81,79,36,77,75,63
131,Roberto Firmino,Brazil,ST,21.0,Liverpool,ST,11.0,83,181,76,25,ST/CAM,4,4,83,87,30,42,64,64,81,84,37,79,82,72
132,Marcos Rojo,Argentina,LCB,16.0,Manchester Utd,Sub,5.0,83,187,80,27,CB/LB,2,3,71,69,79,83,83,89,79,59,80,74,52,64
133,Kalidou Koulibaly,Senegal,0,0.0,Napoli,LCB,26.0,83,195,89,25,CB,2,2,57,54,85,84,86,86,79,24,81,78,19,33
134,Danilo Pereira,Portugal,Sub,13.0,FC Porto,CDM,22.0,83,188,83,25,CDM,3,2,77,77,80,78,85,89,77,68,85,69,56,52
135,Timo Horn,Germany,0,0.0,1. FC Köln,GK,1.0,83,192,90,23,GK,4,1,22,20,11,12,13,41,80,15,22,51,13,21
136,Casemiro,Brazil,CDM,5.0,Real Madrid,Sub,14.0,83,184,80,25,CDM,3,2,77,69,79,85,86,87,78,66,84,62,59,66
137,Vitolo,Spain,Sub,20.0,Sevilla FC,LM,20.0,83,184,79,27,LM/RM,4,3,85,86,25,23,21,61,80,80,25,81,79,74
138,Anthony Lopes,Portugal,Sub,12.0,Olym. Lyonnais,GK,1.0,83,184,81,26,GK,2,1,21,15,13,13,15,35,85,17,25,64,18,16
139,Mattia Perin,Italy,0,0.0,Genoa,Res,1.0,83,188,74,24,GK,3,1,23,19,14,19,12,25,79,12,19,56,11,21
140,Joel Matip,Cameroon,0,0.0,Liverpool,RCB,32.0,83,195,90,25,CB,2,2,71,68,85,78,84,81,81,51,84,77,36,42
141,Juan Cuadrado,Colombia,RAM,11.0,Juventus,RM,7.0,83,179,71,28,RM/CAM,3,5,85,90,52,62,52,70,78,78,58,93,71,65
142,Iago Aspas,Spain,Sub,9.0,Celta Vigo,RW,10.0,83,176,67,29,ST/RW,3,3,84,85,20,18,21,63,86,85,36,80,84,74
143,Marc-André ter Stegen,Germany,Sub,22.0,FC Barcelona,GK,1.0,83,187,85,24,GK,4,1,18,17,10,10,13,43,80,11,22,50,13,25
144,Mario Götze,Germany,0,0.0,Bor. Dortmund,Sub,10.0,82,176,75,24,CM/CAM,4,4,90,88,16,23,43,48,84,82,66,68,74,65
145,Ander Herrera,Spain,Sub,17.0,Manchester Utd,RCM,21.0,83,182,73,27,CM/CDM,4,4,85,81,66,68,72,85,85,79,82,68,71,79
146,Javier Pastore,Argentina,0,0.0,PSG,Sub,10.0,83,187,78,27,CM/RW,4,4,87,88,49,51,59,65,83,78,69,75,73,75
147,Chris Smalling,England,Sub,15.0,Manchester Utd,LCB,12.0,83,193,90,27,CB,3,2,61,59,81,81,84,82,83,48,82,77,50,52
148,Pedro,Spain,RM,11.0,Chelsea,RW,11.0,83,167,62,29,RW/LW,5,4,85,84,30,31,32,56,83,84,49,80,81,66
149,Giacomo Bonaventura,Italy,0,0.0,Milan,Res,5.0,83,181,75,27,CM/LM,3,3,84,84,58,68,73,66,83,79,73,81,75,68
150,Roman Bürki,Switzerland,Sub,21.0,Bor. Dortmund,GK,38.0,83,187,85,26,GK,2,1,23,16,14,16,13,35,80,10,18,52,8,20
151,Oscar,Brazil,Sub,20.0,Free Agents,Res,99.0,83,179,67,25,CAM/LM,3,4,84,82,37,47,50,31,81,81,34,77,75,68
152,Steven N'Zonzi,France,0,0.0,Sevilla FC,LDM,15.0,83,190,75,28,CDM/CM,3,3,82,72,75,78,83,87,82,70,85,62,64,57
153,Aaron Ramsey,Wales,LCM,10.0,Arsenal,Sub,8.0,83,183,76,26,CM/RM,3,3,84,81,62,67,72,74,82,83,72,69,73,75
154,Mateo Musacchio,Argentina,Sub,15.0,Villarreal CF,RCB,5.0,83,182,75,26,CB,3,2,73,43,85,86,84,81,81,50,85,70,48,57
155,Ömer Toprak,Turkey,RCB,5.0,Bayer 04,RCB,21.0,83,187,83,27,CB,5,2,72,64,86,82,85,73,81,35,84,77,28,48
156,José Callejón,Spain,0,0.0,Napoli,RW,7.0,83,178,73,30,RW,2,3,84,82,24,32,32,54,80,88,40,90,76,62
157,Adrien Silva,Portugal,0,0.0,Sporting CP,CM,23.0,83,175,69,28,CM,4,3,85,82,80,73,78,79,77,75,84,65,71,85
158,Azpilicueta,Spain,Sub,2.0,Chelsea,RCB,28.0,83,178,75,27,CB/LB,3,3,77,70,87,87,88,76,88,64,85,79,46,66
159,Sebastian Giovinco,Italy,0,0.0,Toronto FC,LS,10.0,83,164,59,30,CF/ST,4,4,87,86,23,28,23,73,81,83,26,86,81,75
160,Anthony Modeste,France,0,0.0,1. FC Köln,LS,27.0,83,187,84,28,ST,3,3,78,73,25,19,31,83,84,85,26,79,86,77
161,Mario Mandžukić,Croatia,0,0.0,Juventus,LM,17.0,83,190,86,30,ST/LM,3,2,77,73,48,48,56,88,86,89,56,75,84,76
162,Adam Lallana,England,LM,11.0,Liverpool,RCM,20.0,83,172,73,28,CM,5,4,86,85,60,62,68,74,78,77,68,74,79,70
163,Olivier Giroud,France,ST,9.0,Arsenal,Sub,12.0,83,192,88,30,ST,3,2,82,72,26,20,37,76,83,84,41,58,84,81
164,Rui Patrício,Portugal,GK,1.0,Sporting CP,GK,1.0,83,190,84,29,GK,2,1,23,20,13,11,13,39,80,13,22,57,12,32
165,Yann Sommer,Switzerland,GK,1.0,Bor. M'gladbach,GK,1.0,83,183,79,28,GK,4,1,25,15,11,12,19,38,80,15,21,54,13,24
166,Jonas,Brazil,0,0.0,SL Benfica,LS,10.0,83,181,75,32,ST,5,3,88,84,23,25,36,61,83,86,34,70,86,83
167,Kévin Gameiro,France,Sub,10.0,Atlético Madrid,LS,21.0,83,173,70,29,ST,3,3,80,76,23,39,33,66,85,86,38,86,86,85
168,Claudio Bravo,Chile,GK,1.0,Manchester City,Sub,1.0,83,184,80,33,GK,3,1,15,13,11,19,18,40,77,15,23,54,13,23
169,Łukasz Piszczek,Poland,RB,20.0,Bor. Dortmund,RCB,26.0,83,184,78,31,RB/CB,3,2,76,74,79,83,84,83,82,73,81,80,65,65
170,Jan Vertonghen,Belgium,LCB,5.0,Spurs,LCB,5.0,83,189,88,29,CB,3,2,74,70,81,81,85,83,81,63,83,66,60,68
171,Asmir Begović,Bosnia Herzegovina,0,0.0,Chelsea,Sub,1.0,83,200,83,29,GK,2,1,24,16,13,12,11,42,79,11,21,58,12,40
172,Naldo,Brazil,0,0.0,FC Schalke 04,Sub,29.0,83,198,91,34,CB,4,2,68,60,82,85,86,73,82,53,84,73,57,60
173,Daniel Sturridge,England,0,0.0,Liverpool,Sub,15.0,83,180,76,27,ST/RW,2,4,81,82,15,12,24,60,81,84,22,82,84,75
174,José Fonte,Portugal,LCB,6.0,West Ham,RCB,23.0,83,187,81,33,CB,3,2,64,59,84,82,85,84,85,40,85,54,40,43
175,Ezequiel Garay,Argentina,0,0.0,Valencia CF,RCB,24.0,83,188,77,30,CB,3,2,73,62,84,82,85,74,77,49,84,54,58,69
176,Samir Nasri,France,0,0.0,Sevilla FC,CAM,10.0,83,175,75,29,LM/CM/CAM,5,4,87,85,35,44,37,33,77,79,37,78,77,77
177,Gary Cahill,England,LCB,5.0,Chelsea,LCB,24.0,83,193,86,31,CB,3,2,63,58,83,84,85,78,84,45,83,66,56,53
